ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_SEC,NUM_BUREAU,NB_PROCURATION,NB_INSCRIT,NB_EMARGEMENT,NB_VOTANT,NB_VOTE_BLANC,NB_VOTE_NUL,NB_EXPRIME,ARTHAUD Nathalie,ROUSSEL Fabien,MACRON Emmanuel,LASSALLE Jean,LE PEN Marine,ZEMMOUR Eric,MELENCHON Jean-Luc,HIDALGO Anne,JADOT Yannick,PECRESSE Valerie,POUTOU Philippe,DUPONT-AIGNAN Nicolas,lat,lon
13-60,Présidentielle,2022,1,2022-04-10,09,52,13,13,60,56.0,1593.0,1257.0,1257,11.0,9.0,1237.0,6,29.0,382.0,16.0,62.0,65.0,429.0,36.0,127.0,62,9.0,14.0,48.831706757766824,2.350334272778008
11-39,Présidentielle,2022,1,2022-04-10,06,43,11,11,39,68.0,1438.0,1139.0,1142,14.0,4.0,1124.0,3,30.0,288.0,11.0,54.0,46.0,462.0,28.0,127.0,56,10.0,9.0,48.861600977130266,2.3857710152705933
13-26,Présidentielle,2022,1,2022-04-10,09,50,13,13,26,87.0,1741.0,1387.0,1387,15.0,8.0,1364.0,4,25.0,370.0,23.0,92.0,88.0,546.0,41.0,99.0,51,9.0,16.0,48.8268877612146,2.373744342285104
9-24,Présidentielle,2022,1,2022-04-10,18,36,09,09,24,87.0,1475.0,1210.0,1210,11.0,4.0,1195.0,4,26.0,542.0,10.0,46.0,92.0,259.0,25.0,113.0,67,1.0,10.0,48.881401346244694,2.3421958634899673
18-30,Présidentielle,2022,1,2022-04-10,18,69,18,18,30,88.0,1752.0,1381.0,1382,17.0,5.0,1360.0,4,26.0,521.0,15.0,65.0,71.0,414.0,29.0,137.0,65,9.0,4.0,48.88533568556706,2.3293555253119016
16-56,Présidentielle,2022,1,2022-04-10,04,63,16,16,56,78.0,1515.0,1160.0,1161,7.0,7.0,1147.0,0,1.0,550.0,8.0,54.0,275.0,66.0,3.0,33.0,155,1.0,1.0,48.864949170446415,2.2712793966515052
12-46,Présidentielle,2022,1,2022-04-10,08,47,12,12,46,56.0,1518.0,1157.0,1157,14.0,7.0,1136.0,5,25.0,323.0,12.0,63.0,111.0,412.0,24.0,90.0,58,8.0,5.0,48.83088455083713,2.3906893897682298
11-37,Présidentielle,2022,1,2022-04-10,06,42,11,11,37,95.0,1595.0,1289.0,1293,14.0,4.0,1275.0,5,19.0,445.0,16.0,40.0,82.0,430.0,40.0,117.0,65,7.0,9.0,48.86342225795018,2.377294949801649
15-83,Présidentielle,2022,1,2022-04-10,13,60,15,15,83,73.0,1595.0,1280.0,1280,5.0,2.0,1273.0,2,10.0,616.0,18.0,64.0,104.0,191.0,26.0,75.0,150,2.0,15.0,48.84682627986237,2.279313125622738
14-56,Présidentielle,2022,1,2022-04-10,10,56,14,14,56,32.0,1489.0,1055.0,1055,19.0,4.0,1032.0,4,13.0,240.0,31.0,121.0,74.0,377.0,32.0,60.0,47,6.0,27.0,48.82416768659747,2.3128825896880736
14-17,Présidentielle,2022,1,2022-04-10,11,56,14,14,17,48.0,1482.0,1225.0,1225,12.0,2.0,1211.0,1,28.0,487.0,14.0,47.0,67.0,328.0,31.0,114.0,80,8.0,6.0,48.83506092912161,2.323766602035103
5-2,Présidentielle,2022,1,2022-04-10,02,20,05,05,2,80.0,1613.0,1279.0,1278,12.0,1.0,1265.0,2,20.0,529.0,16.0,76.0,105.0,287.0,30.0,90.0,99,5.0,6.0,48.84822142016084,2.343964904592303
12-20,Présidentielle,2022,1,2022-04-10,08,46,12,12,20,58.0,1351.0,1115.0,1115,7.0,4.0,1104.0,1,15.0,384.0,16.0,57.0,81.0,321.0,30.0,115.0,66,11.0,7.0,48.83815411476451,2.391819838519277
6-9,Présidentielle,2022,1,2022-04-10,02,24,06,06,9,56.0,914.0,735.0,735,5.0,0.0,730.0,2,10.0,348.0,9.0,39.0,78.0,106.0,11.0,42.0,74,2.0,9.0,48.85447715238955,2.333767292469145
20-48,Présidentielle,2022,1,2022-04-10,15,80,20,20,48,80.0,1814.0,1461.0,1463,13.0,4.0,1446.0,4,34.0,395.0,23.0,54.0,78.0,595.0,56.0,145.0,43,11.0,8.0,48.85516042179597,2.39679136217293
13-54,Présidentielle,2022,1,2022-04-10,10,51,13,13,54,66.0,1731.0,1405.0,1404,21.0,3.0,1380.0,6,36.0,416.0,22.0,78.0,63.0,464.0,66.0,134.0,74,10.0,11.0,48.82655991778598,2.3435746292007473
12-59,Présidentielle,2022,1,2022-04-10,07,48,12,12,59,59.0,1267.0,1039.0,1039,12.0,3.0,1024.0,2,22.0,338.0,20.0,53.0,73.0,334.0,33.0,84.0,49,3.0,13.0,48.84660687308235,2.376025166285733
18-63,Présidentielle,2022,1,2022-04-10,17,72,18,18,63,52.0,1858.0,1305.0,1304,21.0,12.0,1271.0,5,19.0,265.0,14.0,84.0,72.0,661.0,26.0,60.0,35,13.0,17.0,48.89517588624688,2.365024156352848
19-57,Présidentielle,2022,1,2022-04-10,17,73,19,19,57,13.0,1368.0,896.0,896,12.0,4.0,880.0,9,8.0,147.0,9.0,60.0,53.0,504.0,15.0,28.0,35,5.0,7.0,48.88908245154523,2.3691821179490513
20-43,Présidentielle,2022,1,2022-04-10,15,80,20,20,43,83.0,1810.0,1450.0,1451,13.0,4.0,1434.0,4,29.0,355.0,21.0,56.0,55.0,694.0,34.0,112.0,51,13.0,10.0,48.855478025524064,2.4045110618654926
14-27,Présidentielle,2022,1,2022-04-10,11,53,14,14,27,56.0,1111.0,898.0,898,8.0,3.0,887.0,0,7.0,397.0,23.0,40.0,69.0,174.0,12.0,82.0,71,4.0,8.0,48.83689355576169,2.3374170834297856
16-37,Présidentielle,2022,1,2022-04-10,14,61,16,16,37,87.0,1437.0,1178.0,1179,10.0,1.0,1168.0,1,2.0,577.0,13.0,73.0,172.0,90.0,11.0,56.0,165,4.0,4.0,48.84616050253608,2.2636459278537115
11-53,Présidentielle,2022,1,2022-04-10,06,44,11,11,53,110.0,1762.0,1421.0,1424,18.0,3.0,1403.0,2,25.0,517.0,14.0,59.0,64.0,461.0,46.0,143.0,59,7.0,6.0,48.85354403425363,2.3847966729174925
11-3,Présidentielle,2022,1,2022-04-10,07,43,11,11,3,58.0,1566.0,1227.0,1227,14.0,3.0,1210.0,5,27.0,322.0,15.0,86.0,61.0,493.0,28.0,113.0,36,13.0,11.0,48.856680042562324,2.3841943476846814
20-24,Présidentielle,2022,1,2022-04-10,15,78,20,20,24,63.0,1449.0,1188.0,1188,14.0,0.0,1174.0,1,20.0,395.0,14.0,51.0,66.0,416.0,33.0,117.0,52,3.0,6.0,48.86894181608867,2.4032493846567418
13-66,Présidentielle,2022,1,2022-04-10,09,52,13,13,66,86.0,1758.0,1462.0,1461,20.0,2.0,1439.0,5,30.0,496.0,11.0,62.0,97.0,447.0,39.0,136.0,91,15.0,10.0,48.83682753939881,2.3457155017607736
17-51,Présidentielle,2022,1,2022-04-10,04,66,17,17,51,73.0,1470.0,1209.0,1209,5.0,3.0,1201.0,0,4.0,633.0,14.0,39.0,205.0,94.0,13.0,53.0,137,2.0,7.0,48.88462986818319,2.3042227901811145
16-27,Présidentielle,2022,1,2022-04-10,14,61,16,16,27,91.0,1365.0,1138.0,1138,8.0,2.0,1128.0,1,5.0,533.0,17.0,64.0,178.0,61.0,12.0,42.0,201,1.0,13.0,48.8516954422737,2.2679940123422013
15-46,Présidentielle,2022,1,2022-04-10,13,57,15,15,46,64.0,1474.0,1146.0,1147,14.0,5.0,1128.0,2,15.0,483.0,7.0,67.0,90.0,197.0,27.0,108.0,110,9.0,13.0,48.83308302982724,2.305465675568877
13-36,Présidentielle,2022,1,2022-04-10,10,51,13,13,36,55.0,1443.0,1172.0,1172,11.0,4.0,1157.0,3,23.0,395.0,15.0,56.0,93.0,334.0,33.0,114.0,75,7.0,9.0,48.82802323791411,2.357608942888355
14-48,Présidentielle,2022,1,2022-04-10,10,56,14,14,48,43.0,1548.0,1149.0,1149,12.0,5.0,1132.0,8,15.0,348.0,9.0,90.0,77.0,398.0,24.0,87.0,49,9.0,18.0,48.82948265375696,2.3176920579565805
3-1,Présidentielle,2022,1,2022-04-10,05,10,03,01,1,73.0,1428.0,1143.0,1143,10.0,1.0,1132.0,1,15.0,517.0,12.0,41.0,63.0,273.0,27.0,115.0,62,4.0,2.0,48.86348076148894,2.360768406133836
14-1,Présidentielle,2022,1,2022-04-10,11,55,14,14,1,69.0,1332.0,1108.0,1108,18.0,0.0,1090.0,5,24.0,392.0,17.0,56.0,63.0,314.0,32.0,104.0,65,7.0,11.0,48.83290372972864,2.3271798162078254
16-61,Présidentielle,2022,1,2022-04-10,04,64,16,16,61,62.0,1425.0,1107.0,1107,5.0,3.0,1099.0,1,5.0,512.0,13.0,79.0,217.0,81.0,7.0,32.0,142,2.0,8.0,48.87011112710949,2.2943477893967215
15-28,Présidentielle,2022,1,2022-04-10,12,58,15,15,28,60.0,1514.0,1249.0,1244,11.0,4.0,1229.0,5,18.0,535.0,12.0,70.0,126.0,189.0,22.0,106.0,134,3.0,9.0,48.84331262285078,2.3039124987695496
20-64,Présidentielle,2022,1,2022-04-10,06,79,20,20,64,64.0,1239.0,970.0,970,13.0,2.0,955.0,3,17.0,236.0,14.0,47.0,50.0,451.0,26.0,78.0,22,6.0,5.0,48.866012199432234,2.392997052819295
11-52,Présidentielle,2022,1,2022-04-10,06,44,11,11,52,112.0,1804.0,1448.0,1469,8.0,5.0,1456.0,1,31.0,492.0,18.0,63.0,55.0,516.0,46.0,154.0,47,18.0,15.0,48.851300879532715,2.3853992336017824
12-63,Présidentielle,2022,1,2022-04-10,07,48,12,12,63,48.0,1359.0,1033.0,1033,15.0,2.0,1016.0,5,27.0,278.0,20.0,75.0,77.0,362.0,19.0,84.0,46,10.0,13.0,48.84488121028322,2.37939083006451
20-9,Présidentielle,2022,1,2022-04-10,15,77,20,20,9,75.0,1648.0,1263.0,1263,11.0,7.0,1245.0,6,33.0,253.0,12.0,69.0,48.0,621.0,35.0,107.0,40,12.0,9.0,48.8714953601981,2.394476442605772
15-80,Présidentielle,2022,1,2022-04-10,13,60,15,15,80,44.0,1552.0,1206.0,1206,9.0,7.0,1190.0,3,17.0,425.0,20.0,110.0,112.0,313.0,15.0,65.0,82,10.0,18.0,48.841827760806034,2.275387754556343
16-68,Présidentielle,2022,1,2022-04-10,04,64,16,16,68,62.0,1430.0,1013.0,1022,10.0,3.0,1009.0,1,8.0,459.0,8.0,63.0,210.0,113.0,8.0,32.0,102,1.0,4.0,48.873504654099186,2.2903833103815248
13-8,Présidentielle,2022,1,2022-04-10,09,50,13,13,8,47.0,1488.0,1168.0,1169,14.0,7.0,1148.0,5,27.0,294.0,12.0,84.0,80.0,451.0,36.0,83.0,48,12.0,16.0,48.83022777005464,2.358143168056982
17-29,Présidentielle,2022,1,2022-04-10,03,68,17,17,29,80.0,1706.0,1380.0,1380,12.0,9.0,1359.0,4,21.0,497.0,14.0,57.0,85.0,437.0,33.0,137.0,59,6.0,9.0,48.892618511704825,2.3213560560010973
10-12,Présidentielle,2022,1,2022-04-10,05,40,10,10,12,98.0,1579.0,1216.0,1216,12.0,5.0,1199.0,2,16.0,300.0,1.0,41.0,44.0,582.0,30.0,157.0,15,6.0,5.0,48.87198520594471,2.3743171344434733
16-59,Présidentielle,2022,1,2022-04-10,04,63,16,16,59,51.0,1536.0,1257.0,1258,10.0,3.0,1245.0,4,5.0,616.0,13.0,71.0,271.0,53.0,4.0,48.0,148,1.0,11.0,48.86883128158596,2.2786239507681785
13-33,Présidentielle,2022,1,2022-04-10,09,49,13,13,33,12.0,694.0,444.0,444,9.0,4.0,431.0,2,6.0,108.0,10.0,35.0,26.0,192.0,6.0,19.0,17,3.0,7.0,48.8398370420721,2.369500615610428
13-2,Présidentielle,2022,1,2022-04-10,09,49,13,13,2,51.0,1448.0,1136.0,1136,16.0,2.0,1118.0,2,31.0,342.0,20.0,74.0,54.0,398.0,27.0,99.0,53,8.0,10.0,48.83446795228585,2.355427482099909
9-16,Présidentielle,2022,1,2022-04-10,01,33,09,09,16,90.0,1435.0,1198.0,1198,9.0,3.0,1186.0,1,13.0,547.0,12.0,55.0,74.0,256.0,25.0,110.0,86,4.0,3.0,48.881741469786846,2.329562055143736
13-20,Présidentielle,2022,1,2022-04-10,09,50,13,13,20,16.0,1870.0,1306.0,1307,9.0,6.0,1292.0,4,28.0,434.0,13.0,127.0,97.0,432.0,25.0,48.0,45,11.0,28.0,48.81995031634519,2.367461601048723
10-3,Présidentielle,2022,1,2022-04-10,05,39,10,10,3,105.0,1583.0,1276.0,1277,12.0,3.0,1262.0,2,27.0,394.0,11.0,51.0,64.0,468.0,29.0,151.0,37,12.0,16.0,48.870139384298085,2.3580445689393477
15-41,Présidentielle,2022,1,2022-04-10,12,58,15,15,41,89.0,1625.0,1316.0,1316,14.0,4.0,1298.0,0,17.0,463.0,22.0,84.0,122.0,268.0,31.0,126.0,140,5.0,20.0,48.83979812581645,2.3072264302771943
13-1,Présidentielle,2022,1,2022-04-10,09,49,13,13,1,73.0,1686.0,1366.0,1365,11.0,6.0,1348.0,4,32.0,479.0,24.0,58.0,79.0,400.0,42.0,132.0,83,6.0,9.0,48.835903434754314,2.353883776582259
20-14,Présidentielle,2022,1,2022-04-10,15,77,20,20,14,74.0,1556.0,1269.0,1269,15.0,5.0,1249.0,12,26.0,283.0,17.0,48.0,37.0,593.0,35.0,136.0,38,15.0,9.0,48.87414693382351,2.394444974914093
15-17,Présidentielle,2022,1,2022-04-10,12,59,15,15,17,95.0,1543.0,1249.0,1249,17.0,3.0,1229.0,1,9.0,408.0,20.0,93.0,270.0,194.0,21.0,67.0,133,1.0,12.0,48.8513789752234,2.2932184151230017
17-12,Présidentielle,2022,1,2022-04-10,03,67,17,17,12,84.0,1475.0,1232.0,1232,15.0,4.0,1213.0,2,16.0,617.0,8.0,57.0,115.0,181.0,15.0,78.0,106,1.0,17.0,48.88524400921598,2.3142706707849294
18-7,Présidentielle,2022,1,2022-04-10,18,70,18,18,7,79.0,1440.0,1128.0,1128,18.0,1.0,1109.0,8,25.0,342.0,11.0,38.0,46.0,440.0,28.0,134.0,18,14.0,5.0,48.890749857822385,2.3482967148713207
9-10,Présidentielle,2022,1,2022-04-10,01,33,09,09,10,102.0,1430.0,1186.0,1186,16.0,6.0,1164.0,1,13.0,576.0,10.0,34.0,93.0,232.0,19.0,91.0,79,9.0,7.0,48.87835746614296,2.3369175596718748
18-18,Présidentielle,2022,1,2022-04-10,18,70,18,18,18,108.0,1881.0,1516.0,1516,15.0,4.0,1497.0,5,24.0,382.0,12.0,50.0,40.0,720.0,38.0,177.0,30,8.0,11.0,48.88733221667778,2.349072241791637
19-12,Présidentielle,2022,1,2022-04-10,16,76,19,19,12,79.0,1665.0,1301.0,1301,8.0,4.0,1289.0,2,29.0,309.0,12.0,49.0,57.0,608.0,33.0,148.0,28,9.0,5.0,48.87452196072711,2.38199794589192
17-28,Présidentielle,2022,1,2022-04-10,03,68,17,17,28,78.0,1611.0,1276.0,1277,9.0,6.0,1262.0,2,18.0,501.0,15.0,64.0,78.0,353.0,22.0,112.0,79,7.0,11.0,48.89058957388882,2.3194964547785286
19-29,Présidentielle,2022,1,2022-04-10,16,75,19,19,29,57.0,1497.0,1135.0,1135,13.0,7.0,1115.0,5,17.0,275.0,13.0,72.0,82.0,496.0,17.0,87.0,28,9.0,14.0,48.87845916107695,2.3909620858024887
17-35,Présidentielle,2022,1,2022-04-10,03,68,17,17,35,101.0,1577.0,1330.0,1331,21.0,3.0,1307.0,1,11.0,569.0,21.0,44.0,91.0,301.0,16.0,152.0,86,4.0,11.0,48.88894556579762,2.3215236001729744
6-16,Présidentielle,2022,1,2022-04-10,11,23,06,06,16,107.0,1581.0,1254.0,1254,12.0,4.0,1238.0,0,16.0,589.0,9.0,47.0,130.0,173.0,22.0,100.0,140,2.0,10.0,48.84657894739698,2.3201055372426183
19-32,Présidentielle,2022,1,2022-04-10,16,75,19,19,32,91.0,1567.0,1258.0,1258,11.0,3.0,1244.0,3,31.0,299.0,13.0,38.0,53.0,559.0,37.0,145.0,40,14.0,12.0,48.87671312764681,2.3906182162877436
13-50,Présidentielle,2022,1,2022-04-10,10,51,13,13,50,83.0,1693.0,1407.0,1407,16.0,4.0,1387.0,4,28.0,441.0,19.0,67.0,71.0,456.0,36.0,154.0,92,11.0,8.0,48.82635171863679,2.3474632900923225
16-7,Présidentielle,2022,1,2022-04-10,14,62,16,16,7,75.0,1424.0,1126.0,1127,6.0,1.0,1120.0,0,3.0,555.0,14.0,46.0,216.0,80.0,10.0,22.0,155,6.0,13.0,48.85982746970532,2.2778142011823346
17-34,Présidentielle,2022,1,2022-04-10,03,68,17,17,34,57.0,1488.0,1222.0,1224,22.0,6.0,1196.0,3,16.0,482.0,16.0,44.0,67.0,325.0,28.0,132.0,70,3.0,10.0,48.89024143127485,2.3250321797227618
20-8,Présidentielle,2022,1,2022-04-10,15,79,20,20,8,77.0,1336.0,1133.0,1134,12.0,0.0,1122.0,3,24.0,310.0,10.0,47.0,26.0,502.0,29.0,121.0,27,7.0,16.0,48.86837992085987,2.3967202272658823
7-3,Présidentielle,2022,1,2022-04-10,02,26,07,07,3,72.0,1330.0,1071.0,1070,8.0,3.0,1059.0,0,14.0,523.0,14.0,37.0,171.0,84.0,15.0,58.0,131,4.0,8.0,48.855643095022124,2.314244289070314
20-51,Présidentielle,2022,1,2022-04-10,15,80,20,20,51,80.0,1773.0,1406.0,1406,13.0,6.0,1387.0,6,24.0,429.0,15.0,83.0,89.0,502.0,31.0,123.0,66,6.0,13.0,48.85105025378115,2.4045253395866544
3-15,Présidentielle,2022,1,2022-04-10,05,09,03,01,15,83.0,1512.0,1215.0,1215,13.0,3.0,1199.0,3,25.0,516.0,11.0,57.0,69.0,297.0,30.0,115.0,66,6.0,4.0,48.866042552979025,2.3557167185087615
11-6,Présidentielle,2022,1,2022-04-10,07,44,11,11,6,88.0,1682.0,1350.0,1350,14.0,4.0,1332.0,5,33.0,425.0,14.0,51.0,62.0,481.0,38.0,150.0,51,9.0,13.0,48.85248456338235,2.3817461460575355
15-85,Présidentielle,2022,1,2022-04-10,13,60,15,15,85,75.0,1781.0,1455.0,1455,19.0,6.0,1430.0,6,23.0,518.0,19.0,103.0,125.0,363.0,32.0,109.0,102,6.0,24.0,48.84211639651835,2.283703453025529
16-43,Présidentielle,2022,1,2022-04-10,14,61,16,16,43,69.0,1298.0,1019.0,1019,9.0,5.0,1005.0,1,8.0,424.0,18.0,79.0,149.0,134.0,13.0,42.0,128,3.0,6.0,48.83975168084318,2.258041024629783
20-45,Présidentielle,2022,1,2022-04-10,15,80,20,20,45,75.0,1883.0,1435.0,1436,9.0,3.0,1424.0,3,34.0,364.0,15.0,66.0,57.0,677.0,39.0,106.0,35,13.0,15.0,48.85486323014301,2.4014264608246805
19-14,Présidentielle,2022,1,2022-04-10,16,76,19,19,14,65.0,1778.0,1276.0,1275,3.0,6.0,1266.0,1,25.0,300.0,8.0,60.0,56.0,621.0,30.0,119.0,26,13.0,7.0,48.873339907270875,2.378672275042249
19-58,Présidentielle,2022,1,2022-04-10,17,73,19,19,58,77.0,1636.0,1302.0,1302,14.0,5.0,1283.0,8,23.0,262.0,15.0,46.0,57.0,633.0,39.0,149.0,32,9.0,10.0,48.88646451363026,2.3792420270815926
11-49,Présidentielle,2022,1,2022-04-10,06,44,11,11,49,114.0,1796.0,1471.0,1471,18.0,2.0,1451.0,6,24.0,444.0,13.0,76.0,88.0,505.0,45.0,150.0,76,11.0,13.0,48.84965520821719,2.3949259962487894
8-9,Présidentielle,2022,1,2022-04-10,01,32,08,08,9,76.0,1660.0,1359.0,1359,6.0,1.0,1352.0,1,14.0,609.0,14.0,55.0,185.0,164.0,18.0,80.0,192,6.0,14.0,48.87667360972727,2.3212087421623906
11-1,Présidentielle,2022,1,2022-04-10,07,43,11,11,1,125.0,1817.0,1443.0,1443,15.0,4.0,1424.0,3,28.0,476.0,9.0,52.0,60.0,504.0,50.0,176.0,55,6.0,5.0,48.858442933980164,2.3808597599704533
20-32,Présidentielle,2022,1,2022-04-10,15,78,20,20,32,70.0,1534.0,1151.0,1152,12.0,3.0,1137.0,3,23.0,290.0,10.0,83.0,64.0,504.0,25.0,77.0,41,4.0,13.0,48.865831022540966,2.4095774374517167
18-61,Présidentielle,2022,1,2022-04-10,17,72,18,18,61,92.0,1763.0,1338.0,1338,14.0,2.0,1322.0,2,23.0,315.0,7.0,77.0,48.0,648.0,39.0,107.0,30,11.0,15.0,48.89151343425908,2.361356193074261
18-24,Présidentielle,2022,1,2022-04-10,18,70,18,18,24,102.0,1634.0,1319.0,1319,14.0,0.0,1305.0,1,22.0,472.0,22.0,53.0,74.0,430.0,30.0,134.0,50,6.0,11.0,48.88302149805283,2.3400776748590633
5-23,Présidentielle,2022,1,2022-04-10,02,17,05,05,23,59.0,1487.0,1201.0,1201,17.0,3.0,1181.0,4,20.0,466.0,15.0,68.0,108.0,278.0,23.0,83.0,104,2.0,10.0,48.85003737346792,2.3501838201793817
20-54,Présidentielle,2022,1,2022-04-10,08,80,20,20,54,22.0,1588.0,1091.0,1091,14.0,8.0,1069.0,10,22.0,186.0,6.0,69.0,61.0,615.0,17.0,34.0,24,11.0,14.0,48.85127465755602,2.410465298726831
1-6,Présidentielle,2022,1,2022-04-10,01,02,01,01,6,68.0,1229.0,965.0,965,13.0,1.0,951.0,2,13.0,384.0,13.0,59.0,98.0,222.0,29.0,67.0,60,0.0,4.0,48.862911946721844,2.341939158207875
2-4,Présidentielle,2022,1,2022-04-10,01,07,02,01,4,86.0,1581.0,1213.0,1213,9.0,3.0,1201.0,1,15.0,539.0,13.0,49.0,72.0,314.0,22.0,107.0,50,4.0,15.0,48.869296661570864,2.3443968233070804
13-53,Présidentielle,2022,1,2022-04-10,10,51,13,13,53,31.0,1321.0,1017.0,1017,14.0,5.0,998.0,3,27.0,264.0,13.0,81.0,65.0,384.0,30.0,63.0,51,6.0,11.0,48.8286489027876,2.3437861087883225
20-28,Présidentielle,2022,1,2022-04-10,15,78,20,20,28,35.0,1509.0,1165.0,1165,16.0,3.0,1146.0,4,37.0,295.0,15.0,91.0,91.0,442.0,29.0,72.0,55,3.0,12.0,48.8708669394322,2.407838282503966
16-21,Présidentielle,2022,1,2022-04-10,14,61,16,16,21,82.0,1496.0,1191.0,1191,11.0,2.0,1178.0,0,8.0,506.0,13.0,86.0,170.0,136.0,11.0,72.0,163,4.0,9.0,48.851347623425916,2.2744558885623363
9-9,Présidentielle,2022,1,2022-04-10,01,33,09,09,9,93.0,1470.0,1229.0,1229,10.0,4.0,1215.0,1,8.0,602.0,12.0,45.0,103.0,232.0,22.0,91.0,87,1.0,11.0,48.877970875468186,2.334417252304478
18-41,Présidentielle,2022,1,2022-04-10,03,69,18,18,41,57.0,1646.0,1256.0,1257,19.0,8.0,1230.0,8,19.0,372.0,7.0,83.0,85.0,431.0,32.0,104.0,67,9.0,13.0,48.89372654931279,2.3313545613278213
10-34,Présidentielle,2022,1,2022-04-10,05,38,10,10,34,86.0,1453.0,1177.0,1177,6.0,2.0,1169.0,1,9.0,412.0,14.0,89.0,93.0,342.0,19.0,127.0,51,1.0,11.0,48.87635459413939,2.351484297589363
11-40,Présidentielle,2022,1,2022-04-10,06,43,11,11,40,58.0,1498.0,1160.0,1160,11.0,6.0,1143.0,2,32.0,338.0,14.0,71.0,61.0,427.0,44.0,91.0,47,5.0,11.0,48.86006245126645,2.3836433030353175
4-12,Présidentielle,2022,1,2022-04-10,07,13,04,01,12,78.0,1265.0,1031.0,1031,15.0,5.0,1011.0,2,12.0,434.0,12.0,33.0,83.0,239.0,24.0,104.0,49,6.0,13.0,48.858889581897095,2.3545721390438445
19-2,Présidentielle,2022,1,2022-04-10,16,76,19,19,2,55.0,1542.0,1137.0,1138,13.0,3.0,1122.0,4,21.0,253.0,6.0,67.0,58.0,541.0,28.0,104.0,26,6.0,8.0,48.88433849086602,2.3810824300779756
19-53,Présidentielle,2022,1,2022-04-10,17,73,19,19,53,27.0,1504.0,1043.0,1045,15.0,3.0,1027.0,11,18.0,254.0,10.0,64.0,105.0,418.0,27.0,54.0,45,8.0,13.0,48.89152582445995,2.3703494224026875
17-53,Présidentielle,2022,1,2022-04-10,04,65,17,17,53,61.0,1674.0,1341.0,1340,11.0,1.0,1328.0,0,7.0,606.0,16.0,71.0,215.0,114.0,12.0,69.0,199,2.0,17.0,48.883008754981475,2.2892954584748253
14-50,Présidentielle,2022,1,2022-04-10,10,56,14,14,50,75.0,1541.0,1205.0,1205,9.0,5.0,1191.0,3,27.0,468.0,21.0,58.0,63.0,308.0,32.0,110.0,75,8.0,18.0,48.827476455835125,2.3176775191912777
15-99,Présidentielle,2022,1,2022-04-10,07,14,15,15,99,21.0,901.0,66.0,66,1.0,0.0,65.0,1,1.0,22.0,0.0,3.0,6.0,16.0,3.0,8.0,4,1.0,0.0,48.81940153392898,2.462403394754635
3-14,Présidentielle,2022,1,2022-04-10,05,09,03,01,14,94.0,1654.0,1352.0,1352,13.0,5.0,1334.0,6,26.0,577.0,11.0,42.0,82.0,349.0,31.0,138.0,60,3.0,9.0,48.867082924251896,2.3605930979022407
11-22,Présidentielle,2022,1,2022-04-10,07,41,11,11,22,60.0,1710.0,1390.0,1390,15.0,4.0,1371.0,5,31.0,483.0,17.0,56.0,75.0,438.0,45.0,158.0,52,7.0,4.0,48.867276468856524,2.368255235622022
18-4,Présidentielle,2022,1,2022-04-10,18,70,18,18,4,82.0,1855.0,1509.0,1508,12.0,8.0,1488.0,3,26.0,529.0,16.0,77.0,81.0,489.0,36.0,141.0,66,10.0,14.0,48.892334304074794,2.3409682076066596
7-5,Présidentielle,2022,1,2022-04-10,02,25,07,07,5,116.0,1361.0,1115.0,1115,6.0,4.0,1105.0,1,15.0,575.0,16.0,40.0,129.0,109.0,12.0,61.0,138,2.0,7.0,48.85683248669293,2.3274807481385276
10-17,Présidentielle,2022,1,2022-04-10,05,40,10,10,17,57.0,1335.0,964.0,964,8.0,2.0,954.0,4,25.0,233.0,19.0,78.0,128.0,353.0,16.0,49.0,31,5.0,13.0,48.877582325368714,2.3685902077997887
10-30,Présidentielle,2022,1,2022-04-10,05,37,10,10,30,68.0,1428.0,1124.0,1124,5.0,3.0,1116.0,0,17.0,364.0,9.0,45.0,64.0,398.0,23.0,112.0,59,13.0,12.0,48.878865060432766,2.3545032195581093
16-52,Présidentielle,2022,1,2022-04-10,14,63,16,16,52,74.0,1679.0,1338.0,1338,21.0,3.0,1314.0,1,7.0,615.0,10.0,82.0,255.0,136.0,7.0,47.0,139,6.0,9.0,48.8657630291585,2.281080686397169
5-12,Présidentielle,2022,1,2022-04-10,02,19,05,05,12,84.0,1513.0,1244.0,1245,13.0,2.0,1230.0,3,29.0,472.0,14.0,39.0,86.0,349.0,32.0,113.0,79,2.0,12.0,48.83974157611225,2.347988005287791
10-4,Présidentielle,2022,1,2022-04-10,05,39,10,10,4,85.0,1394.0,1090.0,1090,12.0,4.0,1074.0,3,16.0,370.0,10.0,20.0,50.0,416.0,30.0,122.0,27,3.0,7.0,48.87095419410141,2.361920597495808
18-64,Présidentielle,2022,1,2022-04-10,17,72,18,18,64,34.0,1796.0,1174.0,1176,13.0,4.0,1159.0,3,18.0,202.0,7.0,76.0,55.0,685.0,26.0,44.0,24,9.0,10.0,48.89543373427171,2.3606786456050126
6-10,Présidentielle,2022,1,2022-04-10,02,22,06,06,10,75.0,1104.0,943.0,943,12.0,1.0,930.0,1,13.0,443.0,14.0,20.0,83.0,132.0,19.0,78.0,121,1.0,5.0,48.84579014987118,2.3360103230961395
