ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_SEC,NUM_BUREAU,NB_PROCURATION,NB_INSCRIT,NB_EMARGEMENT,NB_VOTANT,NB_VOTE_BLANC,NB_VOTE_NUL,NB_EXPRIME,ARTHAUD Nathalie,ROUSSEL Fabien,MACRON Emmanuel,LASSALLE Jean,LE PEN Marine,ZEMMOUR Eric,MELENCHON Jean-Luc,HIDALGO Anne,JADOT Yannick,PECRESSE Valerie,POUTOU Philippe,DUPONT-AIGNAN Nicolas,lat,lon
15-54,Présidentielle,2022,1,2022-04-10,13,57,15,15,54,79.0,1550.0,1249.0,1247,12.0,5.0,1230.0,4,15.0,455.0,19.0,76.0,94.0,263.0,28.0,125.0,132,7.0,12.0,48.83341938160625,2.2965325953340057
17-56,Présidentielle,2022,1,2022-04-10,04,65,17,17,56,64.0,1598.0,1262.0,1263,12.0,4.0,1247.0,0,5.0,611.0,12.0,69.0,143.0,149.0,21.0,82.0,144,3.0,8.0,48.884159829105734,2.292403640208534
2-1,Présidentielle,2022,1,2022-04-10,01,06,02,01,1,70.0,1128.0,924.0,924,9.0,2.0,913.0,1,16.0,405.0,10.0,49.0,103.0,162.0,14.0,79.0,64,2.0,8.0,48.86945299943515,2.340922428534746
18-33,Présidentielle,2022,1,2022-04-10,18,69,18,18,33,83.0,1682.0,1301.0,1301,18.0,4.0,1279.0,2,22.0,476.0,13.0,72.0,68.0,407.0,17.0,126.0,53,6.0,17.0,48.89187328634454,2.328831670741358
11-51,Présidentielle,2022,1,2022-04-10,06,44,11,11,51,93.0,1711.0,1347.0,1347,17.0,4.0,1326.0,4,25.0,475.0,13.0,56.0,73.0,407.0,39.0,152.0,68,10.0,4.0,48.85160759979788,2.388156899116647
18-48,Présidentielle,2022,1,2022-04-10,03,69,18,18,48,65.0,1315.0,1027.0,1028,14.0,6.0,1008.0,6,22.0,225.0,15.0,46.0,40.0,462.0,23.0,106.0,45,5.0,13.0,48.89676274261439,2.3404795465747026
16-3,Présidentielle,2022,1,2022-04-10,14,62,16,16,3,77.0,1557.0,1192.0,1196,8.0,4.0,1184.0,0,8.0,601.0,9.0,53.0,250.0,64.0,5.0,33.0,154,0.0,7.0,48.86064270459376,2.2670669639739773
12-62,Présidentielle,2022,1,2022-04-10,07,48,12,12,62,92.0,1466.0,1231.0,1231,17.0,2.0,1212.0,2,13.0,441.0,9.0,51.0,52.0,367.0,51.0,164.0,44,12.0,6.0,48.85057182466477,2.373764760344564
15-5,Présidentielle,2022,1,2022-04-10,12,59,15,15,5,82.0,1646.0,1308.0,1308,14.0,1.0,1293.0,2,13.0,515.0,22.0,81.0,135.0,278.0,19.0,92.0,118,2.0,16.0,48.84680984577738,2.29833138221647
9-20,Présidentielle,2022,1,2022-04-10,01,36,09,09,20,105.0,1487.0,1224.0,1224,15.0,3.0,1206.0,1,9.0,537.0,14.0,56.0,90.0,245.0,31.0,123.0,81,5.0,14.0,48.87713183160945,2.3419050777752193
15-53,Présidentielle,2022,1,2022-04-10,13,57,15,15,53,66.0,1584.0,1227.0,1226,16.0,4.0,1206.0,4,20.0,431.0,20.0,88.0,114.0,282.0,25.0,103.0,103,3.0,13.0,48.83254212377506,2.2926021029785333
